Part number,Description,Ordering & quality,SubFamily,Rating,TI functional safety category,"Operating temperature range
(C)",Package size: mm2:W x L (PKG),Package Group,"Approx. price
(USD)",Status
TPS61033,5-V 5-A boost converter with PG and PFM/PWM control,Ordering & quality,Boost converters (integrated switch),Catalog, --- ,-40 to 125,3 mm2: 1.2 x 2.1 (SOT-5X3|8),SOT-5X3|8,$0.600 | 1ku,PREVIEW
TPS568231,3.8-V to 17-V 8-A synchronous buck converter with D-CAP3 control,Ordering & quality,Buck converters (integrated switch),Catalog, --- ,-40 to 125,12 mm2: 3.5 x 3.5 (VQFN-HR|18),VQFN-HR|18,$1.400 | 1ku,ACTIVE
TPS62992-Q1,Automotive 3-V to 10-V 2-A low-IQ synchronous buck converter,Ordering & quality,Buck converters (integrated switch),Automotive,Functional Safety-Capable,-40 to 125,4 mm2: 2 x 2.2 (VQFN-HR|9),VQFN-HR|9,$0.540 | 1ku,ACTIVE
TPS62993-Q1,Automotive 3-V to 10-V 3-A low-IQ synchronous buck converter,Ordering & quality,Buck converters (integrated switch),Automotive,Functional Safety-Capable,-40 to 125,4 mm2: 2 x 2.2 (VQFN-HR|9),VQFN-HR|9,$0.610 | 1ku,ACTIVE
LM5149-Q1,80-V automotive synchronous buck DC/DC controller with ultra-low IQ and integrated active EMI filter,Ordering & quality,Buck controllers (external switch),Automotive, --- ,-40 to 150,19 mm2: 3.5 x 5.5 (VQFN|24),VQFN|24,$2.189 | 1ku,PREVIEW
TPSM365R6,3-V to 65-V input 1-V to 13-V output 0.6-A synchronous buck converter power module,Ordering & quality,Buck modules (integrated inductor),Catalog,Functional Safety-Capable,-40 to 125,See datasheet, --- ,$2.600 | 1ku,PREVIEW
LM5012,6-V to 100-V input 2.5-A non-synchronous buck DC/DC converter with ultra-low IQ,Ordering & quality,Buck converters (integrated switch),Catalog,Functional Safety-Capable,-40 to 150,19 mm2: 3.9 x 4.89 (SO PowerPAD|8),SO PowerPAD|8,$1.080 | 1ku,ACTIVE
LM5012-Q1,Automotive 6-V to 100-V input 2.5-A non-synchronous buck DC/DC converter,Ordering & quality,Buck converters (integrated switch),Automotive,Functional Safety-Capable,-40 to 150,19 mm2: 3.9 x 4.89 (SO PowerPAD|8),SO PowerPAD|8,$1.500 | 1ku,ACTIVE
LM5013,6-V to 100-V input 3.5-A non-synchronous buck DC/DC converter with ultra-low quiescent current (IQ),Ordering & quality,Buck converters (integrated switch),Catalog,Functional Safety-Capable,-40 to 150,19 mm2: 3.9 x 4.89 (SO PowerPAD|8),SO PowerPAD|8,$1.543 | 1ku,ACTIVE
LM5169,6-V to 120-V Wide VIN 650-mA DC/DC converter with Fly-Buck™ capability,Ordering & quality,Buck converters (integrated switch),Catalog, --- ,-40 to 150,19 mm2: 3.9 x 4.89 (SO PowerPAD|8),SO PowerPAD|8,$1.500 | 1ku,ACTIVE
TPS51383,4.5-V to 24-V input 8-A synchronous buck converter,Ordering & quality,Buck converters (integrated switch),Catalog, --- ,-40 to 125,6 mm2: 2 x 3 (VQFN-HR|12),VQFN-HR|12,$1.320 | 1ku,ACTIVE
TPS61376,25-V 4.5-A boost converter with 2.5% accuracy input average current limit & true disconnection,Ordering & quality,Boost converters (integrated switch),Catalog, --- ,-40 to 125,5 mm2: 2 x 2.5 (VQFN-HR|13),VQFN-HR|13,$1.200 | 1ku,ACTIVE
TPS563252,3-V to 16-V input voltage 3-A 1.4-Mhz synchronous buck converter in SOT563,Ordering & quality,Buck converters (integrated switch),Catalog, --- ,-40 to 125,2 mm2: 1.2 x 1.6 (SOT-5X3|6),SOT-5X3|6,$0.350 | 1ku,PREVIEW
TPS563257,3-V to 16-V input voltage 3-A 1.4-Mhz synchronous buck converter in SOT563,Ordering & quality,Buck converters (integrated switch),Catalog, --- ,-40 to 125,2 mm2: 1.2 x 1.6 (SOT-5X3|6),SOT-5X3|6,$0.350 | 1ku,PREVIEW
TLV61070A,5-V 2-A boost converter with 0.5-V minimum input voltage,Ordering & quality,Boost converters (integrated switch),Catalog, --- ,-40 to 125,5 mm2: 1.6 x 2.9 (SOT-23|6),SOT-23|6,$0.200 | 1ku,ACTIVE
TPS62873-Q1,Automotive 2.7-V to 6-V input 15-A stackable synchronous buck converter,Ordering & quality,Buck converters (integrated switch),Automotive,Functional Safety-Capable,-40 to 125,9 mm2: 3.55 x 2.55 (VQFN-FCRLF|16),VQFN-FCRLF|16,$1.852 | 1ku,ACTIVE
TPS544C26,4-V to 16-V 35-A SVID and I&sup2;C&nbsp;synchronous step-down converter,Ordering & quality,Buck converters (integrated switch),Catalog, --- ,-40 to 125,30 mm2: 5 x 6 (WQFN-FCRLF|37),WQFN-FCRLF|37,$4.150 | 1ku,ACTIVE
TPS55289,30-V 8-A buck-boost converter with I²C interface,Ordering & quality,Buck-boost inverting & split-rail converters (integrated switch),Catalog, --- ,-40 to 125,15 mm2: 3 x 5 (VQFN-HR|21),VQFN-HR|21,$3.350 | 1ku,ACTIVE
LM5168-Q1,Automotive 6-V to 120-V Wide VIN 300-mA DC-DC converter with Fly-Buck™ capability,Ordering & quality,Buck converters (integrated switch),Automotive, --- ,-40 to 150,19 mm2: 3.9 x 4.89 (SO PowerPAD|8),SO PowerPAD|8,$1.250 | 1ku,ACTIVE
LM5169-Q1,Automotive 6-V to 120-V Wide VIN 650-mA DC-DC converter with Fly-Buck™ capability,Ordering & quality,Buck converters (integrated switch),Automotive, --- ,-40 to 150,19 mm2: 3.9 x 4.89 (SO PowerPAD|8),SO PowerPAD|8,$1.764 | 1ku,ACTIVE
TPS543B22,4-V to 18-V input advanced current mode 20-A synchronous SWIFT&trade; step-down converter,Ordering & quality,Buck converters (integrated switch),Catalog, --- ,-40 to 150,11 mm2: 2.5 x 4.5 (WQFN-FCRLF|17),WQFN-FCRLF|17,$2.950 | 1ku,PREVIEW
TPSM8D6B24,4-V to 16-V input dual 25-A single 50-A PMBus&reg; power module,Ordering & quality,Buck modules (integrated inductor),Catalog, --- ,-40 to 125,320 mm2: 20 x 16 (QFM|59),QFM|59,$20.000 | 1ku,ACTIVE
TPS56C231,3.8-V to 17-V 12-A synchronous buck converter with D-CAP3 control,Ordering & quality,Buck converters (integrated switch),Catalog, --- ,-40 to 125,12 mm2: 3.5 x 3.5 (VQFN-HR|18),VQFN-HR|18,$1.500 | 1ku,ACTIVE
